"IN","STR","UNIT","RXNORM_CUI","VA_CLS","VA_CLS_CD"
"phenylephrine",25,"MG",1300092,"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC","OP600"
"naproxen",550,"MG",849438,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"meperidine",50,"MG",861525,"OPIOID ANALGESICS","CN101"
"potassium gluconate",2.5,"MEQ",240060,"POTASSIUM","TN430"
"potassium bicarbonate",0.208,"MEQ",1193110,"POTASSIUM","TN430"
"potassium chloride",1.33,"MEQ",208960,"POTASSIUM","TN430"
"prednisolone",5,"MG",102858,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC","OP300"
"prednisolone",10,"MG",1548724,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC","OP300"
"prazosin",2,"MG",208980,"ALPHA BLOCKERS/RELATED","CV150"
"prednisone",1,"MG",206754,"GLUCOCORTICOIDS","HS051"
"prednisone",10,"MG",206989,"GLUCOCORTICOIDS","HS051"
"triamcinolone",1,"MG",1085612,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"nystatin",1e+05,"UNT",1085612,"ANTIFUNGAL,TOPICAL","DE102"
"opium",100,"MG",830196,"ANTIDIARRHEAL AGENTS","GA208"
"meperidine",50,"MG",861522,"OPIOID ANALGESICS","CN101"
"prednisone",5,"MG",206957,"GLUCOCORTICOIDS","HS051"
"prednisone",50,"MG",207049,"GLUCOCORTICOIDS","HS051"
"estrogens, conjugated (USP)",0.625,"MG",150840,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"estrogens, conjugated (USP)",0.625,"MG",150840,"ESTROGENS","HS300"
"estrogens, conjugated (USP)",0.625,"MG",688242,"ESTROGENS,VAGINAL","GU500"
"probenecid",500,"MG",202107,"ANTIGOUT AGENTS","MS400"
"prochlorperazine",5,"MG",2102949,"ANTIEMETICS","GA605"
"prochlorperazine",10,"MG",207685,"ANTIEMETICS","GA605"
"phentermine",37.5,"MG",803350,"CENTRALLY-ACTING APPETITE SUPPRESSANTS","GA751"
"phentermine",8,"MG",1810304,"CENTRALLY-ACTING APPETITE SUPPRESSANTS","GA751"
"prochlorperazine",5,"MG",207680,"ANTIEMETICS","GA605"
"promethazine",25,"MG",992462,"ANTIHISTAMINES,PHENOTHIAZINE","AH100"
"pilocarpine",20,"MG",1000872,"PARASYMPATHOMIMETICS (CHOLINERGICS)","AU300"
"miconazole",20,"MG",2045891,NA,NA
"magnesium sulfate",500,"MG",1658244,"MAGNESIUM","TN460"
"potassium chloride",2.67,"MEQ",832739,"POTASSIUM","TN430"
"prazosin",1,"MG",208979,"ALPHA BLOCKERS/RELATED","CV150"
"promethazine",12.5,"MG",992440,"ANTIHISTAMINES,PHENOTHIAZINE","AH100"
"niacin",500,"MG",211683,"NICOTINIC ACID","VT103"
"methenamine",1000,"MG",992155,"METHENAMINE SALTS ANTIMICROBIALS","AM550"
"niacin",250,"MG",199143,"NICOTINIC ACID","VT103"
"niacinamide",100,"MG",311965,"NICOTINIC ACID","VT103"
"promethazine",25,"MG",108942,"ANTIHISTAMINES,PHENOTHIAZINE","AH100"
"codeine",2,"MG",991502,"OPIOID ANALGESICS","CN101"
"promethazine",1.25,"MG",991502,"ANTIHISTAMINES,PHENOTHIAZINE","AH100"
"proparacaine",5,"MG",1191026,"ANESTHETICS,TOPICAL OPHTHALMIC","OP700"
"propranolol",10,"MG",200843,"BETA BLOCKERS/RELATED","CV100"
"propranolol",20,"MG",856508,"BETA BLOCKERS/RELATED","CV100"
"propranolol",40,"MG",856528,"BETA BLOCKERS/RELATED","CV100"
"protamine sulfate (USP)",10,"MG",1796672,"HEPARIN ANTAGONISTS","BL118"
"pseudoephedrine",30,"MG",1049525,"DECONGESTANTS,SYSTEMIC","RE200"
"pseudoephedrine",60,"MG",1049169,"DECONGESTANTS,SYSTEMIC","RE200"
"vitamin B6",25,"MG",260452,"PYRIDOXINE","VT104"
"silver sulfadiazine",10,"MG",204129,NA,NA
"salsalate",750,"MG",208059,"SALICYLATES,ANTIRHEUMATIC","MS101"
"camphor",5,"MG",200176,"DERMATOLOGICALS,TOPICAL OTHER","DE900"
"menthol",5,"MG",200176,"DERMATOLOGICALS,TOPICAL OTHER","DE900"
"naphazoline",1,"MG",1046613,"DECONGESTANTS,TOPICAL OPHTHALMIC","OP800"
"simethicone",80,"MG",210270,"GASTRIC MEDICATIONS,OTHER","GA900"
"simethicone",66.7,"MG",809398,"GASTRIC MEDICATIONS,OTHER","GA900"
"nortriptyline",75,"MG",209391,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"nystatin",100,"UNT",884375,"ANTIFUNGAL,TOPICAL","DE102"
"oxazepam",10,"MG",207244,NA,NA
"oxazepam",15,"MG",207245,NA,NA
"nitrofurantoin",100,"MG",201883,"NITROFURANS ANTIMICROBIALS","AM600"
"omeprazole",20,"MG",207212,"H. PYLORI AGENTS","GA303"
"omeprazole",20,"MG",207212,"GASTRIC MEDICATIONS,OTHER","GA900"
"sodium chloride",30,"MG",730781,"PHARMACEUTICAL AIDS/REAGENTS","PH000"
"sodium chloride",30,"MG",730781,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"sodium chloride",30,"MG",730781,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium chloride",30,"MG",730781,"SODIUM","TN440"
"sodium chloride",0.854,"MEQ",750126,"SODIUM","TN440"
"sodium chloride",1000,"MG",313009,"SODIUM","TN440"
"sodium fluoride",2.2,"MG",540142,"CARIOSTATICS,TOPICAL","OR100"
"sulfacetamide",100,"MG",1006122,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"insulin isophane",70,"UNT",213442,"INSULIN","HS501"
"insulin, regular, human",30,"UNT",213442,"INSULIN","HS501"
"hydrochlorothiazide",25,"MG",208112,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"spironolactone",25,"MG",208112,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"succinylcholine",20,"MG",1594591,"NEUROMUSCULAR BLOCKING AGENTS","MS300"
"sulfamethoxazole",800,"MG",849580,"SULFONAMIDE/RELATED ANTIMICROBIALS","AM650"
"trimethoprim",160,"MG",849580,"SULFONAMIDE/RELATED ANTIMICROBIALS","AM650"
"minoxidil",10,"MG",201350,"DERMATOLOGICALS,TOPICAL OTHER","DE900"
"sulfamethoxazole",400,"MG",208416,"SULFONAMIDE/RELATED ANTIMICROBIALS","AM650"
"trimethoprim",80,"MG",208416,"SULFONAMIDE/RELATED ANTIMICROBIALS","AM650"
"sulfasalazine",500,"MG",724154,"GASTRIC MEDICATIONS,OTHER","GA900"
"levothyroxine",0.05,"MG",966247,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.088,"MG",966282,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.075,"MG",966171,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.1,"MG",966250,"THYROID SUPPLEMENTS","HS851"
"morphine",30,"MG",892673,"OPIOID ANALGESICS","CN101"
"tamoxifen",10,"MG",105630,"ANTINEOPLASTIC HORMONES","AN500"
"levothyroxine",0.125,"MG",966191,"THYROID SUPPLEMENTS","HS851"
"temazepam",15,"MG",208464,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"potassium chloride",20,"MEQ",1867547,"POTASSIUM","TN430"
"vitamin B6",100,"MG",198946,"PYRIDOXINE","VT104"
"vitamin B6",50,"MG",639566,"PYRIDOXINE","VT104"
"nabumetone",500,"MG",206958,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"temazepam",30,"MG",208465,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"testosterone",200,"MG",835842,"ANDROGENS/ANABOLICS","HS100"
"tetracaine",5,"MG",1547775,"ANESTHETICS,TOPICAL OPHTHALMIC","OP700"
"tetracycline",500,"MG",1541233,"H. PYLORI AGENTS","GA303"
"thiamine",100,"MG",105762,"THIAMINE","VT105"
"tobramycin",3,"MG",207846,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"trazodone",150,"MG",104824,NA,NA
"piroxicam",20,"MG",105930,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"triamcinolone",1,"MG",1085773,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"triamcinolone",5,"MG",1648999,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"triamcinolone",0.001,"MG",1085771,"DENTAL AND ORAL AGENTS,TOPICAL,OTHER","OR900"
"triamcinolone",0.001,"MG",1085767,"DENTAL AND ORAL AGENTS,TOPICAL,OTHER","OR900"
"triamterene",37.5,"MG",93253,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"hydrochlorothiazide",25,"MG",93253,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"triamterene",75,"MG",93252,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"hydrochlorothiazide",50,"MG",93252,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"trimethobenzamide",100,"MG",860751,"ANTIEMETICS","GA605"
"trimethoprim",100,"MG",208631,"SULFONAMIDE/RELATED ANTIMICROBIALS","AM650"
"tropicamide",10,"MG",208660,"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC","OP600"
"verapamil",2.5,"MG",1665061,"CALCIUM CHANNEL BLOCKERS","CV200"
"vitamin A",10000,"UNT",313638,"VITAMIN A","VT050"
"ascorbic acid",1000,"MG",198897,"VITAMIN C","VT400"
"ergocalciferol",1.25,"MG",1367410,"ERGOCALCIFEROL","VT504"
"vitamin A",2.4,"MG",313652,"VITAMIN A","VT050"
"vitamin E",180,"MG",210306,"VITAMIN E","VT600"
"vitamin E",100,"UNT",210304,"VITAMIN E","VT600"
"warfarin",10,"MG",855300,"ANTICOAGULANTS","BL110"
"warfarin",2.5,"MG",855316,"ANTICOAGULANTS","BL110"
"warfarin",5,"MG",855336,"ANTICOAGULANTS","BL110"
"warfarin",7.5,"MG",855346,"ANTICOAGULANTS","BL110"
"bismuth subsalicylate",262,"MG",308760,"ANTIDIARRHEAL AGENTS","GA208"
"docusate",100,"MG",1115005,"STOOL SOFTENER","GA205"
"acetaminophen",500,"MG",205733,"NON-OPIOID ANALGESICS","CN103"
"caffeine",40,"MG",205733,"NON-OPIOID ANALGESICS","CN103"
"butalbital",50,"MG",205733,"NON-OPIOID ANALGESICS","CN103"
"acyclovir",200,"MG",213694,"ANTIVIRALS","AM800"
"acyclovir",400,"MG",201905,"ANTIVIRALS","AM800"
"acyclovir",800,"MG",213706,"ANTIVIRALS","AM800"
"albumin human, USP",250,"MG",1741572,NA,NA
"albumin human, USP",50,"MG",1741765,NA,NA
"albuterol",0.09,"MG",745752,"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION","RE102"
"amiodarone",200,"MG",226486,"ANTIARRHYTHMICS","CV300"
"sulfasalazine",500,"MG",226373,"GASTRIC MEDICATIONS,OTHER","GA900"
"levothyroxine",0.112,"MG",966185,"THYROID SUPPLEMENTS","HS851"
"aspirin",81,"MG",724444,"NON-OPIOID ANALGESICS","CN103"
"levothyroxine",0.175,"MG",966205,"THYROID SUPPLEMENTS","HS851"
"betamethasone",5e-04,"MG",848200,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"benazepril",20,"MG",898692,"ACE INHIBITORS","CV800"
"benazepril",40,"MG",898721,"ACE INHIBITORS","CV800"
"bromocriptine",2.5,"MG",105446,"AUTONOMIC AGENTS,OTHER","AU900"
"betaxolol",10,"MG",1297755,"BETA-BLOCKERS,TOPICAL OPHTHALMIC","OP101"
"bumetanide",0.25,"MG",541106,"LOOP DIURETICS","CV702"
"bupivacaine",7.5,"MG",1724792,"LOCAL ANESTHETICS,INJECTION","CN204"
"bupropion",75,"MG",993693,"ANTIDEPRESSANTS,OTHER","CN609"
"buspirone",10,"MG",866086,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"buspirone",5,"MG",866096,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"sodium chloride",6.5,"MG",707251,"NASAL AND THROAT,TOPICAL,OTHER","NT900"
"calcium carbonate",500,"MG",210111,"CALCIUM","TN420"
"phendimetrazine",35,"MG",994466,NA,NA
"cefoxitin",1000,"MG",1665105,"CEPHALOSPORIN 2ND GENERATION","AM116"
"cefuroxime",250,"MG",211974,"CEPHALOSPORIN 2ND GENERATION","AM116"
"cefpodoxime",200,"MG",214078,NA,NA
"cefuroxime",500,"MG",211979,"CEPHALOSPORIN 2ND GENERATION","AM116"
"cephalexin",250,"MG",212306,"CEPHALOSPORIN 1ST GENERATION","AM115"
"cephalexin",500,"MG",212339,"CEPHALOSPORIN 1ST GENERATION","AM115"
"vitamin K1",2,"MG",727625,"PHYTONADIONE","VT702"
"pilocarpine",10,"MG",1000649,"PARASYMPATHOMIMETICS (CHOLINERGICS)","AU300"
"triamcinolone",0.00025,"MG",1085635,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"cephalexin",500,"MG",212297,"CEPHALOSPORIN 1ST GENERATION","AM115"
"chlorhexidine",1.2,"MG",848757,NA,NA
"cholestyramine resin",4000,"MG",848951,"ANTILIPEMIC AGENTS","CV350"
"ciprofloxacin",3,"MG",103943,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"pravastatin",40,"MG",904477,"ANTILIPEMIC AGENTS","CV350"
"vitamin B12",1,"MG",309593,"CYANOCOBALAMIN","VT101"
"vitamin B12",2,"MG",237777,"CYANOCOBALAMIN","VT101"
"clindamycin",300,"MG",748748,"LINCOMYCINS","AM350"
"clindamycin",0.01,"MG",804978,"ANTIACNE AGENTS,TOPICAL","DE752"
"clindamycin",18,"MG",685576,"LINCOMYCINS","AM350"
"clobetasol",0.5,"MG",861503,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"clobetasol",5e-04,"MG",861472,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"clobetasol",0.5,"MG",861510,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"clonazepam",0.5,"MG",206157,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"sodium chloride",30,"MG",1495050,"RESPIRATORY AGENTS,OTHER","RE900"
"clonazepam",1,"MG",206159,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"acetaminophen",325,"MG",351638,"NON-OPIOID ANALGESICS","CN103"
"caffeine",40,"MG",351638,"NON-OPIOID ANALGESICS","CN103"
"butalbital",50,"MG",351638,"NON-OPIOID ANALGESICS","CN103"
"clotrimazole",10,"MG",206178,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL","DE250"
"clonazepam",2,"MG",206160,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"codeine",2,"MG",995932,"OPIOID ANALGESICS","CN101"
"guaifenesin",20,"MG",995932,"DECONGESTANT/EXPECTORANT","RE516"
"desonide",5e-04,"MG",205530,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"diclofenac",50,"MG",855944,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"lactate",3.1,"MG",847627,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"calcium chloride",0.2,"MG",847627,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"glucose",50,"MG",847627,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"potassium chloride",0.3,"MG",847627,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium chloride",6,"MG",847627,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"doxazosin",1,"MG",104367,"ALPHA BLOCKERS/RELATED","CV150"
"doxazosin",2,"MG",104368,"ALPHA BLOCKERS/RELATED","CV150"
"doxazosin",4,"MG",104369,"ALPHA BLOCKERS/RELATED","CV150"
"doxazosin",8,"MG",205544,"ALPHA BLOCKERS/RELATED","CV150"
"enalapril",20,"MG",858812,"ACE INHIBITORS","CV800"
"esmolol",10,"MG",1736547,"BETA BLOCKERS/RELATED","CV100"
"estradiol",1,"MG",206101,"ESTROGENS","HS300"
"estradiol",1,"MG",206101,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"famotidine",20,"MG",1091399,"HISTAMINE ANTAGONISTS","GA301"
"sodium chloride",0.000855,"MEQ",1299626,"OPHTHALMICS,OTHER","OP900"
"sorbitol",700,"MG",212960,NA,NA
"famotidine",40,"MG",104095,"HISTAMINE ANTAGONISTS","GA301"
"flecainide",150,"MG",886673,"ANTIARRHYTHMICS","CV300"
"procainamide",500,"MG",857964,NA,NA
"fluconazole",100,"MG",207107,"ANTIFUNGALS","AM700"
"bumetanide",0.5,"MG",205488,"LOOP DIURETICS","CV702"
"fluconazole",200,"MG",207112,"ANTIFUNGALS","AM700"
"bupropion",100,"MG",993688,"ANTIDEPRESSANTS,OTHER","CN609"
"flumazenil",0.1,"MG",208215,NA,NA
"fluoxetine",10,"MG",205535,"ANTIDEPRESSANTS,OTHER","CN609"
"fluoxetine",20,"MG",104849,"ANTIDEPRESSANTS,OTHER","CN609"
"captopril",50,"MG",226702,NA,NA
"tolnaftate",0.01,"MG",209661,NA,NA
"fluvoxamine",100,"MG",903885,NA,NA
"glipizide",10,"MG",205830,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"carbidopa",25,"MG",541293,"ANTIPARKINSON AGENTS","CN500"
"levodopa",100,"MG",541293,"ANTIPARKINSON AGENTS","CN500"
"flurbiprofen",0.3,"MG",1243587,"OPHTHALMICS,OTHER","OP900"
"dipyridamole",50,"MG",207569,"PLATELET AGGREGATION INHIBITORS","BL117"
"glipizide",5,"MG",205828,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"glyburide",1.25,"MG",669983,NA,NA
"glycopyrronium",1,"MG",205886,"PARASYMPATHOLYTICS","AU350"
"glyburide",2.5,"MG",205876,NA,NA
"cefadroxil",500,"MG",213823,NA,NA
"halobetasol",5e-04,"MG",977980,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"halobetasol",0.5,"MG",977992,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"levothyroxine",0.025,"MG",966158,"THYROID SUPPLEMENTS","HS851"
"heparin",5000,"UNT",1361615,"ANTICOAGULANTS","BL110"
"hydroxychloroquine",200,"MG",979094,"ANTIMALARIALS","AP101"
"hydroxyurea",500,"MG",105602,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"isradipine",5,"MG",206934,NA,NA
"indapamide",1.25,"MG",206945,NA,NA
"ketoconazole",20,"MG",604651,"ANTIFUNGAL,TOPICAL","DE102"
"triamcinolone",0.25,"MG",1648997,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"labetalol",5,"MG",896773,"BETA BLOCKERS/RELATED","CV100"
"labetalol",200,"MG",896781,"BETA BLOCKERS/RELATED","CV100"
"lactate",120,"MG",864010,"EMOLLIENTS","DE350"
"levothyroxine",0.088,"MG",966174,"THYROID SUPPLEMENTS","HS851"
"cimetidine",400,"MG",104070,"HISTAMINE ANTAGONISTS","GA301"
"ciclopirox",7.7,"MG",1300064,"ANTIFUNGAL,TOPICAL","DE102"
"cimetidine",800,"MG",104078,"HISTAMINE ANTAGONISTS","GA301"
"thyroid (USP)",120,"MG",208546,"THYROID SUPPLEMENTS","HS851"
"triamcinolone",5e-04,"MG",1110806,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"levothyroxine",0.112,"MG",966234,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.137,"MG",966192,"THYROID SUPPLEMENTS","HS851"
"clindamycin",12,"MG",685578,"LINCOMYCINS","AM350"
"levothyroxine",0.175,"MG",966464,"THYROID SUPPLEMENTS","HS851"
"varicella-zoster immune globulin",104,"UNT",1365979,"IMMUNOGLOBULINS","IM500"
"lidocaine",25,"MG",1656327,"LOCAL ANESTHETICS,TOPICAL","DE700"
"prilocaine",25,"MG",1656327,"LOCAL ANESTHETICS,TOPICAL","DE700"
"verapamil",80,"MG",897685,"CALCIUM CHANNEL BLOCKERS","CV200"
"lisinopril",40,"MG",206771,"ACE INHIBITORS","CV800"
"colchicine",0.5,"MG",198153,"ANTIGOUT AGENTS","MS400"
"probenecid",500,"MG",198153,"ANTIGOUT AGENTS","MS400"
"cyclosporine",25,"MG",212810,"IMMUNE SUPPRESSANTS","IM600"
"zinc oxide",0.2,"MG",351584,"DERMATOLOGICALS,TOPICAL OTHER","DE900"
"econazole",10,"MG",857368,NA,NA
"triamcinolone",0.005,"MG",1085642,"ANTI-INFLAMMATORIES,NASAL","NT200"
"lisinopril",5,"MG",201380,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"estrogens, esterified (USP)",0.625,"MG",705921,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"methyltestosterone",1.25,"MG",705921,"HORMONES/SYNTHETICS/MODIFIERS,OTHER","HS900"
"lisinopril",20,"MG",823982,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"hydrochlorothiazide",12.5,"MG",823982,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"cholecalciferol",0.01,"MG",309263,"VITAMIN D,OTHER","VT509"
"lisinopril",20,"MG",823971,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"hydrochlorothiazide",25,"MG",823971,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"vitamin E",450,"MG",260476,"VITAMIN E","VT600"
"tobramycin",0.003,"MG",208821,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC","OP350"
"dexamethasone",0.001,"MG",208821,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC","OP350"
"scopolamine",0.0139,"MG",351875,"ANTIVERTIGO AGENTS","CN550"
"loratadine",10,"MG",602185,"ANTIHISTAMINE/DECONGESTANT","RE501"
"acebutolol",200,"MG",998691,NA,NA
"lovastatin",10,"MG",209013,"ANTILIPEMIC AGENTS","CV350"
"lovastatin",20,"MG",206257,"ANTILIPEMIC AGENTS","CV350"
"lovastatin",40,"MG",206258,"ANTILIPEMIC AGENTS","CV350"
"magnesium oxide",400,"MG",210958,"MAGNESIUM","TN460"
"fluconazole",50,"MG",207106,"ANTIFUNGALS","AM700"
"megestrol",40,"MG",860227,NA,NA
"metformin",500,"MG",861008,"ORAL HYPOGLYCEMIC AGENTS,ORAL","HS502"
"calcium ascorbate",500,"MG",830785,NA,NA
"vitamin E",90,"MG",313713,"VITAMIN E","VT600"
"fosinopril",10,"MG",857171,NA,NA
"calcium carbonate",648,"MG",577040,"CALCIUM","TN420"
"methimazole",10,"MG",207012,"ANTITHYROID AGENTS","HS852"
"metolazone",2.5,"MG",207271,NA,NA
"cefpodoxime",100,"MG",106849,NA,NA
"mexiletine",200,"MG",1362714,NA,NA
"midazolam",1,"MG",545226,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"ibuprofen",20,"MG",105850,"OPIOID ANALGESICS","CN101"
"ketorolac",10,"MG",861844,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"levothyroxine",0.2,"MG",966251,"THYROID SUPPLEMENTS","HS851"
"midodrine",2.5,"MG",993468,NA,NA
"midazolam",5,"MG",2057964,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"midodrine",5,"MG",993472,NA,NA
"cimetidine",300,"MG",207824,"HISTAMINE ANTAGONISTS","GA301"
"mitomycin",20,"MG",1812480,"ANTINEOPLASTIC ANTIBIOTICS","AN200"
"mometasone",0.001,"MG",92584,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"cimetidine",200,"MG",104062,"HISTAMINE ANTAGONISTS","GA301"
"clarithromycin",500,"MG",205866,"H. PYLORI AGENTS","GA303"
"clarithromycin",500,"MG",205866,"ERYTHROMYCINS/MACROLIDES","AM200"
"mupirocin",0.02,"MG",630513,"ANTIBACTERIAL,TOPICAL","DE101"
"alclometasone",5e-04,"MG",855482,NA,NA
"levothyroxine",0.15,"MG",966201,"THYROID SUPPLEMENTS","HS851"
"nabumetone",750,"MG",206959,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"nifedipine",30,"MG",360394,NA,NA
"tetracycline",250,"MG",208129,"H. PYLORI AGENTS","GA303"
"betamethasone",0.5,"MG",848195,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"thiamine",50,"MG",105761,"THIAMINE","VT105"
"oxycodone",1,"MG",1049606,"OPIOID ANALGESICS","CN101"
"cromolyn",40,"MG",831111,"NASAL AND THROAT,TOPICAL,OTHER","NT900"
"enalapril",10,"MG",858830,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"hydrochlorothiazide",25,"MG",858830,"ANTIHYPERTENSIVE COMBINATIONS","CV400"
"triamcinolone",1,"MG",1085746,"ANTI-INFLAMMATORIES,NASAL","NT200"
"cromolyn",10,"MG",831267,"NASAL AND THROAT,TOPICAL,OTHER","NT900"
"diflorasone",0.5,"MG",966583,NA,NA
"diflorasone",5e-04,"MG",966615,NA,NA
"enalapril",10,"MG",858819,"ACE INHIBITORS","CV800"
"trihexyphenidyl",2,"MG",141842,NA,NA
"enalaprilat",1.25,"MG",1729200,"ACE INHIBITORS","CV800"
"sodium phosphate, monobasic",161,"MG",283100,"LAXATIVES,RECTAL","RS300"
"sodium phosphate, dibasic",59.3,"MG",283100,"LAXATIVES,RECTAL","RS300"
"fludrocortisone",0.1,"MG",207131,NA,NA
"cholestyramine resin",4000,"MG",848949,"ANTILIPEMIC AGENTS","CV350"
"simvastatin",20,"MG",104491,"ANTILIPEMIC AGENTS","CV350"
"mercaptopurine",50,"MG",206788,NA,NA
"zinc sulfate",220,"MG",313774,"ZINC","TN450"
"fluticasone",0.5,"MG",895989,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"paroxetine",20,"MG",541662,"ANTIDEPRESSANTS,OTHER","CN609"
"guanfacine",2,"MG",206413,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"methenamine",1000,"MG",992152,"METHENAMINE SALTS ANTIMICROBIALS","AM550"
"polysaccharide iron complex",150,"MG",212485,NA,NA
"potassium chloride",0.2,"MEQ",1860241,"POTASSIUM","TN430"
"metolazone",5,"MG",201269,NA,NA
"dantrolene",25,"MG",856658,"SKELETAL MUSCLE RELAXANTS","MS200"
"desoximetasone",0.0025,"MG",94348,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"hydroquinone",40,"MG",545087,"DERMATOLOGICALS,TOPICAL OTHER","DE900"
"etodolac",300,"MG",105826,NA,NA
"aspirin",325,"MG",211880,"NON-OPIOID ANALGESICS","CN103"
"betaxolol",5,"MG",213707,"BETA-BLOCKERS,TOPICAL OPHTHALMIC","OP101"
"potassium chloride",0.2,"MEQ",1860239,"POTASSIUM","TN430"
"pravastatin",20,"MG",904469,"ANTILIPEMIC AGENTS","CV350"
"labetalol",100,"MG",896777,"BETA BLOCKERS/RELATED","CV100"
"primidone",50,"MG",207478,"ANTICONVULSANTS","CN400"
"promethazine",25,"MG",992456,"ANTIHISTAMINES,PHENOTHIAZINE","AH100"
"prochlorperazine",25,"MG",207639,"ANTIEMETICS","GA605"
"propafenone",150,"MG",861426,NA,NA
"mometasone",1,"MG",92582,"ANTI-INFLAMMATORIES,INHALATION","RE101"
"naltrexone",50,"MG",1483746,"OPIOID ANTAGONIST ANALGESICS","CN102"
"quinapril",10,"MG",207892,"ACE INHIBITORS","CV800"
"quinapril",40,"MG",207895,"ACE INHIBITORS","CV800"
"quinapril",20,"MG",207893,"ACE INHIBITORS","CV800"
"ranitidine",150,"MG",153464,NA,NA
